source_file_id,framework,version,variant,task,model,size_mb,params_m,gmacs,cpu_cores,latency_ms
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b0,20.33,5.288,0.4,4,113.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,1,387.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,2,214.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,3,165.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b1,29.97,7.794,0.59,4,154.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,1,426.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,2,234.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,3,181.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b2,35.01,9.11,0.68,4,173.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,1,598.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,2,356.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,3,284.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b3,47.0,12.23,0.99,4,247.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,1,833.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,2,459.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,3,357.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b4,74.26,19.34,1.54,4,321.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,1,1250.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,2,678.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,3,527.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b5,116.5,30.38,2.41,4,481.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,1,1726.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,2,965.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,3,746.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b6,165.0,43.04,3.43,4,686.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,1,2440.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,2,1352.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,3,1040.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,efficientnet_b7,254.2,66.34,5.26,4,922.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,googlenet,49.66,6.624,1.5,1,318.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,googlenet,49.66,6.624,1.5,2,167.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,googlenet,49.66,6.624,1.5,3,124.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,googlenet,49.66,6.624,1.5,4,107.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,1,123.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,2,73.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,3,63.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mnasnet1_0,16.86,4.383,0.32,4,66.0
S001,tvm,v0.8.0,autotvm_tuned,Torchvision ImageNet,mobilenet_v2,13.5,3.504,0.31,1,132.0
